A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35
0.0,0.0,0.0,0.0,0.0,-0.7940888501924929,0.06612212665379047,0.0,0.06050834689289331,2.1162451156205497,-0.024338358510285617,0.0,0.0,0.0,-0.10044361131032929,0.0,0.0,0.0,0.0,0.014275210129562765,-0.8217588962242007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,2.2131444290746005,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.26790653844713236,-0.42212305484339596,0.0,0.1999979572929442,1.5121135257347487,-0.024338358510285617,0.0,0.0,0.0,-0.1240585804427974,0.0,0.0,0.0,0.0,0.010273269100580365,-1.12778984233737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,-3.398167426828295,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.08459329169709236,-0.37975345166400076,0.0,-0.2891248127678409,-3.598288411027752,0.0009830498695373535,0.0,0.0,0.0,-0.08122609880927484,0.0,0.0,0.0,0.0,0.010273269100580365,-1.5181998248770834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,-2.474367578686215,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.6339338232623413,0.05263848938047886,0.0,-0.06406980745960027,1.3414316730713471,0.12043057059869171,0.0,0.0,0.0,1.1467541278694988,0.0,0.0,0.0,0.0,-0.08338242428842932,4.4606277123093605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07399099295958876,0.0,1.3668028168240562,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.7940888501924929,0.06612212665379047,0.0,0.06050834689289331,2.1162451156205497,-0.024338358510285617,0.0,0.0,0.0,-0.10044361131032929,0.0,0.0,0.0,0.0,0.014275210129562765,-0.8217588962242007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,2.2131444290746005,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.7940888501924929,0.06612212665379047,0.0,0.06050834689289331,2.1162451156205497,-0.024338358510285617,0.0,0.0,0.0,-0.10044361131032929,0.0,0.0,0.0,0.0,0.014275210129562765,-0.8217588962242007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,2.2131444290746005,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.2998616087745177,0.08044561406597495,0.0,0.053720996263436974,-3.1775774475024083,-0.011096392124891281,0.0,0.0,0.0,-0.033226453484967354,0.0,0.0,0.0,0.0,0.014275210129562765,7.1837375503405925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,0.9908451097365468,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.6072864809399471,0.07362790543586016,0.0,-0.06406980745960027,1.5535105100413784,0.08576176038011908,0.0,0.0,0.0,1.0253678459301592,0.0,0.0,0.0,0.0,-0.08338242428842932,4.296108591891826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07399099295958876,0.0,1.6727844628924504,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3073162652802421,0.3875109248235822,0.0,-0.2369693828606978,0.843977228407748,-0.015340706296265126,0.0,0.0,0.0,-0.12437239154241979,0.0,0.0,0.0,0.0,0.014275210129562765,6.207152246236801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,-2.481651027365588,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.7779195398063166,0.08711154270917178,0.0,0.06050834689289331,2.363481159263756,0.0011633058078587056,0.0,0.0,0.0,-0.11750921851024032,0.0,0.0,0.0,0.0,0.014275210129562765,-0.7904033151641489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,2.5669259695429356,0.0,0.0,0.0
