A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35
-0.0020000000000000018,0.0,0.0,-0.0020000000000000018,0.005000000000000003,-0.020999999999999994,-0.012,-4.163336342344337e-18,-0.010000000000000005,-0.192,-2.7755575615628915e-18,0.0,-0.006999999999999992,0.0,-0.009000000000000003,0.0,0.0,-0.001999999999999996,0.0,-0.0010000000000000009,-0.047,-0.013000000000000001,0.0,0.0019999999999999996,0.0,0.000999999999999998,0.0,0.0,0.0,0.0,-0.010000000000000004,0.0,-0.155,-0.005999999999999997,0.0,-0.008999999999999998
-0.0040000000000000036,0.0,0.0,-0.0010000000000000009,-0.013000000000000001,-0.049,0.017999999999999995,0.0010000000000000009,-0.019,0.219,0.024,0.0,-0.006,0.0,-0.004999999999999993,0.0,0.0,0.007000000000000006,0.0,0.0,-0.028000000000000008,-0.0009999999999999953,0.0,0.0040000000000000036,0.0,-0.0010000000000000065,0.0,0.0,0.0,0.0,0.06899999999999999,0.0,0.308,-0.0010000000000000009,-0.0010000000000000009,-0.011
-0.0020000000000000018,0.0,0.0,-0.0009999999999999953,0.19299999999999998,0.181,0.03000000000000001,-0.008999999999999992,-0.025999999999999995,-0.43699999999999994,0.0040000000000000036,0.0,0.00799999999999999,0.0,-0.007000000000000004,0.0,0.0,-5.551115123125783e-18,0.0,-0.0010000000000000009,0.34600000000000003,-0.004000000000000012,0.0,-0.0009999999999999898,0.0,-0.004000000000000002,0.0,0.0,0.0,0.0,-0.005999999999999998,0.0,0.24300000000000002,-0.0040000000000000036,0.0010000000000000009,0.006000000000000007
-0.001999999999999996,0.0,0.0,-0.0010000000000000009,-5.551115123125783e-18,0.006000000000000005,-0.008999999999999998,0.0020000000000000018,-0.0009999999999999842,0.22800000000000004,-0.0010000000000000009,0.0,0.004999999999999988,0.0,0.0010000000000000065,0.0,0.0,-0.0030000000000000027,0.0,-0.0009999999999999953,-0.033,0.0040000000000000036,0.0,0.008999999999999998,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,-0.001999999999999996,0.0,0.304,-0.0020000000000000018,-0.0020000000000000018,-0.002000000000000013
0.0,0.0,0.0,0.0,-0.013000000000000006,0.0030000000000000027,-0.031000000000000007,0.003999999999999995,-0.004000000000000009,0.078,-0.007000000000000011,0.0,0.0009999999999999953,0.0,-0.0049999999999999975,0.0,0.0,-0.004999999999999999,0.0,-0.002999999999999986,-0.02899999999999999,0.0,0.0,-0.0050000000000000044,0.0,0.0030000000000000027,0.0,0.0,0.0,0.0,0.0040000000000000036,0.0,-0.47300000000000003,-0.004999999999999999,0.0010000000000000009,-0.004000000000000002
0.0,0.0,0.0,-0.0030000000000000027,-0.005999999999999996,0.006000000000000006,0.001999999999999994,-0.010999999999999992,0.004000000000000003,-0.186,0.01800000000000001,0.0,-0.011999999999999997,0.0,-0.0069999999999999975,0.0,0.0,-0.001999999999999999,0.0,-0.0020000000000000057,-0.024,-0.011,0.0,-0.010000000000000009,0.0,-0.001999999999999996,0.0,0.0,0.0,0.0,-0.0020000000000000018,0.0,-0.236,-0.0020000000000000018,-0.0020000000000000018,-0.0020000000000000018
-0.001999999999999996,0.0,0.0,-0.0010000000000000009,0.005000000000000016,0.007000000000000006,-0.0020000000000000018,0.039000000000000014,0.02799999999999999,0.101,0.007999999999999997,0.0,-0.0040000000000000036,0.0,0.013000000000000006,0.0,0.0,0.0010000000000000009,0.0,0.012,0.07400000000000001,0.021,0.0,-0.015999999999999997,0.0,-1.1102230246251566e-17,0.0,0.0,0.0,0.0,0.028000000000000004,0.0,0.182,-0.0010000000000000009,0.008999999999999998,0.007999999999999985
-0.0040000000000000036,0.0,0.0,-0.002000000000000013,-0.007000000000000001,0.033999999999999996,-0.00799999999999999,0.003000000000000014,-0.001000000000000012,0.219,0.003999999999999992,0.0,-0.012,0.0,-0.004999999999999993,0.0,0.0,0.003999999999999992,0.0,-0.0010000000000000009,-0.039,0.002000000000000013,0.0,0.003000000000000014,0.0,0.010999999999999992,0.0,0.0,0.0,0.0,-0.006000000000000005,0.0,0.32,0.0,0.0009999999999999953,-0.006
-0.0020000000000000018,0.0,0.0,-0.0010000000000000009,-0.004999999999999993,0.034,-0.01399999999999999,-0.0020000000000000018,-0.0010000000000000176,0.22999999999999998,-0.0020000000000000018,0.0,0.014999999999999986,0.0,-0.003999999999999998,0.0,0.0,-5.551115123125783e-18,0.0,-0.0010000000000000009,-0.03,0.003999999999999998,0.0,-0.004999999999999999,0.0,-0.008999999999999998,0.0,0.0,0.0,0.0,-0.0010000000000000009,0.0,0.309,-0.006000000000000005,0.0,0.0010000000000000009
-0.0020000000000000018,0.0,0.0,-0.0010000000000000009,0.047999999999999994,-0.015999999999999993,0.013000000000000006,0.026000000000000002,-0.00500000000000001,-0.33399999999999996,0.06100000000000001,0.0,-0.011000000000000006,0.0,-0.008000000000000004,0.0,0.0,0.0010000000000000009,0.0,0.0,0.496,-0.021,0.0,0.005999999999999998,0.0,0.027000000000000003,0.0,0.0,0.0,0.0,-0.003999999999999994,0.0,0.052000000000000005,-0.010000000000000004,0.0,0.192
