Scorer_1,Scorer_2,Subject
-8.501174472627231e-05,4.245698551993239e-06,2.922281740132932e-05
1.294595097354578e-06,4.245698551993401e-06,2.9222817401329456e-05
8.760093492098125e-05,4.245698551993645e-06,2.9222817401329564e-05
-4.18585748144593e-05,7.50073410852135e-05,2.9222817401329497e-05
4.444776500916816e-05,7.500734108521354e-05,2.9222817401329876e-05
-8.501174472627199e-05,7.500734108521379e-05,2.9222817401329917e-05
1.29459509735512e-06,7.500734108521417e-05,2.9222817401330052e-05
8.760093492098082e-05,7.500734108521344e-05,2.922281740132913e-05
-4.185857481445903e-05,-3.113512271461655e-05,2.377079922943968e-05
4.444776500916816e-05,-3.113512271461654e-05,2.3770799229439992e-05
-8.50117447262721e-05,-3.113512271461666e-05,2.3770799229439924e-05
1.2945950973541984e-06,-3.113512271461715e-05,2.3770799229439518e-05
8.760093492098114e-05,-3.113512271461701e-05,2.377079922943987e-05
-4.185857481445957e-05,3.962651981860308e-05,2.3770799229439084e-05
4.444776500916778e-05,3.962651981860326e-05,2.377079922943964e-05
-8.501174472627242e-05,3.9626519818603136e-05,2.3770799229439572e-05
1.2945950973547405e-06,3.9626519818603516e-05,2.3770799229439843e-05
8.760093492098185e-05,3.9626519818603814e-05,2.377079922944025e-05
-4.185857481445941e-05,-6.651594398122723e-05,2.3770799229439436e-05
4.4447765009168104e-05,-6.651594398122698e-05,2.3770799229439938e-05
-8.50117447262721e-05,-6.651594398122694e-05,2.3770799229439924e-05
1.294595097354849e-06,-6.651594398122683e-05,2.3770799229440114e-05
8.760093492098114e-05,-6.65159439812274e-05,2.3770799229439653e-05
-4.185857481445892e-05,4.245698551993564e-06,2.377079922943979e-05
4.4447765009167616e-05,4.245698551992873e-06,2.377079922943918e-05
-8.501174472627242e-05,4.245698551993022e-06,2.3770799229439355e-05
1.2945950973544153e-06,4.245698551993022e-06,2.377079922943949e-05
8.760093492098168e-05,4.245698551993428e-06,2.3770799229440087e-05
-4.185857481445957e-05,7.500734108521309e-05,2.3770799229439355e-05
4.444776500916767e-05,7.50073410852131e-05,2.377079922943953e-05
-8.50117447262721e-05,7.500734108521352e-05,2.377079922943995e-05
1.294595097354849e-06,7.500734108521358e-05,2.3770799229439924e-05
8.760093492098141e-05,7.500734108521333e-05,2.3770799229439816e-05
-4.185857481445919e-05,-3.113512271461712e-05,1.831878105754973e-05
4.444776500916824e-05,-3.113512271461654e-05,1.8318781057550135e-05
-8.50117447262722e-05,-3.1135122714616794e-05,1.831878105754985e-05
1.2945950973539816e-06,-3.113512271461723e-05,1.8318781057549376e-05
8.760093492098103e-05,-3.113512271461704e-05,1.8318781057549824e-05
-4.185857481445865e-05,3.962651981860365e-05,1.831878105755027e-05
4.4447765009167535e-05,3.962651981860304e-05,1.8318781057549566e-05
-8.501174472627285e-05,3.962651981860292e-05,1.8318781057549444e-05
1.2945950973544695e-06,3.962651981860354e-05,1.8318781057549837e-05
8.76009349209813e-05,3.962651981860346e-05,1.8318781057549905e-05
-4.1858574814459247e-05,-6.651594398122742e-05,1.8318781057549837e-05
4.4447765009167806e-05,-6.65159439812272e-05,1.831878105754989e-05
-8.501174472627231e-05,-6.651594398122699e-05,1.8318781057549932e-05
1.294595097354578e-06,-6.65159439812268e-05,1.8318781057550108e-05
8.760093492098087e-05,-6.651594398122742e-05,1.8318781057549607e-05
-4.1858574814458975e-05,4.245698551993483e-06,1.8318781057550298e-05
4.444776500916813e-05,4.24569855199374e-06,1.8318781057550217e-05
-8.501174472627199e-05,4.245698551993889e-06,1.831878105755031e-05
1.2945950973538732e-06,4.245698551993103e-06,1.831878105754954e-05
8.760093492098098e-05,4.245698551993239e-06,1.831878105754996e-05
-4.1858574814459355e-05,7.50073410852129e-05,1.8318781057549756e-05
4.44477650091677e-05,7.500734108521316e-05,1.8318781057549756e-05
-8.501174472627231e-05,7.500734108521341e-05,1.831878105754985e-05
1.2945950973546863e-06,7.500734108521371e-05,1.8318781057549946e-05
8.760093492098071e-05,7.500734108521282e-05,1.831878105754931e-05
-4.1858574814459355e-05,-3.113512271461701e-05,1.2866762885659696e-05
4.444776500916794e-05,-3.1135122714616456e-05,1.2866762885660075e-05
-8.50117447262722e-05,-3.1135122714616523e-05,1.2866762885660143e-05
1.2945950973549032e-06,-3.113512271461658e-05,1.286676288566055e-05
8.760093492098098e-05,-3.113512271461701e-05,1.2866762885659994e-05
-4.185857481445865e-05,3.962651981860368e-05,1.2866762885660102e-05
4.4447765009167616e-05,3.962651981860318e-05,1.2866762885659587e-05
-8.501174472627247e-05,3.962651981860316e-05,1.2866762885659682e-05
1.2945950973546863e-06,3.962651981860311e-05,1.2866762885659926e-05
8.760093492098174e-05,3.9626519818603705e-05,1.2866762885660319e-05
-4.185857481445919e-05,-6.651594398122734e-05,1.2866762885659777e-05
4.444776500916778e-05,-6.651594398122717e-05,1.286676288565975e-05
-8.501174472627242e-05,-6.651594398122718e-05,1.286676288565979e-05
1.2945950973550116e-06,-6.651594398122702e-05,1.2866762885660441e-05
8.760093492098087e-05,-6.651594398122767e-05,1.2866762885659506e-05
-4.185857481445914e-05,4.2456985519934555e-06,1.286676288566013e-05
4.444776500916805e-05,4.2456985519938214e-06,1.2866762885660156e-05
-8.501174472627226e-05,4.2456985519936995e-06,1.2866762885660116e-05
1.2945950973542526e-06,4.245698551992886e-06,1.2866762885659845e-05
8.760093492098109e-05,4.24569855199332e-06,1.2866762885660102e-05
-4.185857481445952e-05,7.500734108521287e-05,1.286676288565956e-05
4.444776500916794e-05,7.500734108521351e-05,1.286676288565994e-05
-8.501174472627247e-05,7.500734108521322e-05,1.2866762885659682e-05
1.2945950973549032e-06,7.500734108521333e-05,1.2866762885660116e-05
8.760093492098201e-05,7.500734108521398e-05,1.286676288566059e-05
-4.1858574814459165e-05,-3.113512271461704e-05,7.4147447137700286e-06
4.444776500916786e-05,-3.113512271461686e-05,7.414744713770178e-06
-8.501174472627242e-05,-3.1135122714616496e-05,7.414744713770083e-06
1.2945950973546321e-06,-3.113512271461666e-05,7.414744713770408e-06
8.760093492098082e-05,-3.1135122714617065e-05,7.414744713770015e-06
-4.185857481445868e-05,3.9626519818603624e-05,7.414744713770435e-06
4.4447765009168294e-05,3.962651981860369e-05,7.414744713770611e-06
-8.501174472627291e-05,3.962651981860319e-05,7.414744713769595e-06
1.2945950973542526e-06,3.962651981860308e-05,7.414744713769839e-06
8.760093492098114e-05,3.962651981860338e-05,7.414744713770069e-06
-4.185857481445868e-05,-6.651594398122683e-05,7.414744713770679e-06
4.444776500916748e-05,-6.651594398122763e-05,7.414744713769825e-06
-8.501174472627269e-05,-6.651594398122704e-05,7.414744713769866e-06
1.2945950973546863e-06,-6.651594398122694e-05,7.414744713770462e-06
8.760093492098158e-05,-6.651594398122669e-05,7.414744713770611e-06
-4.185857481445906e-05,4.245698551993076e-06,7.414744713770137e-06
4.44477650091684e-05,4.2456985519935775e-06,7.4147447137703945e-06
-8.501174472627226e-05,4.245698551993672e-06,7.4147447137700286e-06
1.2945950973541984e-06,4.245698551992859e-06,7.41474471376973e-06
8.760093492098125e-05,4.2456985519932116e-06,7.414744713770178e-06
-4.185857481445862e-05,7.500734108521368e-05,7.414744713770815e-06
4.4447765009167643e-05,7.500734108521305e-05,7.414744713770015e-06
-8.501174472627285e-05,7.500734108521325e-05,7.414744713769676e-06
1.2945950973546863e-06,7.500734108521352e-05,7.414744713770245e-06
8.760093492098125e-05,7.500734108521344e-05,7.414744713770178e-06
-4.185857481445919e-05,-3.113512271461709e-05,1.9627265418799413e-06
4.44477650091677e-05,-3.113512271461713e-05,1.9627265418799413e-06
-8.501174472627231e-05,-3.113512271461712e-05,1.9627265418801175e-06
1.2945950973549303e-06,-3.1135122714616496e-05,1.9627265418806325e-06
8.76009349209806e-05,-3.113512271461739e-05,1.9627265418797245e-06
-4.1858574814458975e-05,3.962651981860365e-05,1.9627265418804563e-06
4.444776500916813e-05,3.96265198186038e-05,1.9627265418807003e-06
-8.501174472627199e-05,3.962651981860373e-05,1.962726541880795e-06
1.2945950973542255e-06,3.962651981860319e-05,1.9627265418800633e-06
8.760093492098114e-05,3.96265198186036e-05,1.962726541880321e-06
-4.185857481445887e-05,-6.651594398122691e-05,1.9627265418805648e-06
4.44477650091677e-05,-6.65159439812273e-05,1.962726541880104e-06
-8.501174472627231e-05,-6.651594398122726e-05,1.9627265418803344e-06
1.2945950973544966e-06,-6.651594398122715e-05,1.9627265418803615e-06
8.760093492098141e-05,-6.65159439812268e-05,1.9627265418805105e-06
-4.185857481445946e-05,4.245698551993157e-06,1.962726541880158e-06
4.444776500916808e-05,4.245698551993686e-06,1.9627265418804834e-06
-8.50117447262721e-05,4.245698551993564e-06,1.9627265418806054e-06
1.294595097354876e-06,4.245698551993835e-06,1.9627265418808223e-06
8.760093492098065e-05,4.245698551993049e-06,1.9627265418799956e-06
-4.185857481445876e-05,7.500734108521371e-05,1.9627265418807816e-06
4.44477650091677e-05,7.500734108521316e-05,1.962726541880158e-06
-8.501174472627253e-05,7.500734108521303e-05,1.9627265418800904e-06
1.294595097354605e-06,7.500734108521347e-05,1.96272654188028e-06
8.760093492098168e-05,7.500734108521398e-05,1.9627265418807274e-06
-4.185857481445865e-05,-3.113512271461674e-05,-3.489291630008845e-06
4.4447765009167264e-05,-3.113512271461724e-05,-3.48929163000978e-06
-8.501174472627275e-05,-3.113512271461712e-05,-3.489291630009631e-06
1.2945950973544153e-06,-3.113512271461655e-05,-3.489291630009197e-06
8.760093492098144e-05,-3.113512271461666e-05,-3.4892916300087635e-06
-4.185857481445892e-05,3.962651981860303e-05,-3.4892916300093327e-06
4.444776500916813e-05,3.9626519818603583e-05,-3.4892916300091023e-06
-8.501174472627215e-05,3.9626519818603516e-05,-3.48929163000917e-06
1.2945950973540358e-06,3.962651981860308e-05,-3.489291630009902e-06
8.760093492098139e-05,3.9626519818603245e-05,-3.4892916300092785e-06
-4.185857481445854e-05,-6.65159439812271e-05,-3.4892916300087635e-06
4.4447765009167427e-05,-6.651594398122763e-05,-3.489291630009807e-06
-8.501174472627253e-05,-6.651594398122732e-05,-3.4892916300094954e-06
1.2945950973541442e-06,-6.651594398122732e-05,-3.489291630009631e-06
8.76009349209816e-05,-6.651594398122704e-05,-3.4892916300089533e-06
-4.1858574814459247e-05,4.245698551992751e-06,-3.4892916300093056e-06
4.4447765009167806e-05,4.245698551993252e-06,-3.4892916300094547e-06
