is_converged?,n_adj
false,4.799203073239588
false,4.858041878245313
false,4.823271420938762
false,4.860091936461104
false,4.759574803717807
false,4.84246831036892
false,4.861362761083857
false,4.781634592091281
false,4.747468761567621
false,5.120351723506182
false,4.896288915051591
false,4.637993401685086
false,4.72604224829646
false,4.852539594730261
false,5.061868391356222
false,4.767189236839335
false,4.5663277645275535
false,4.819211729784751
false,4.970379474030588
false,4.866750474001997
false,4.77889767996259
false,4.7828402637479766
false,4.969885951326115
false,4.675394894715387
false,4.828058500548359
false,4.7585426569810885
false,4.785182976815837
false,4.85155702703877
false,4.718426775500812
false,4.862442948710993
false,4.899038429255584
false,4.702328741867579
false,4.71289980419559
false,5.0282401309531135
false,4.818090766569468
false,4.904084282923321
false,4.861230118202733
false,4.870598172956187
false,4.716898934001606
false,4.745615240663568
false,4.8631081843556485
false,4.706711352654558
false,4.801567852397111
false,4.807046100732716
false,4.799113060142475
false,4.809975434189427
false,4.8793949289559695
false,4.902217947704764
false,4.8345612101443765
false,4.810867394944474
false,4.922084395208131
false,4.813031688843047
false,4.7079908034269105
false,4.774722999030958
false,4.763921596903939
false,4.7145654126130765
false,4.879305300421517
false,4.7560630737966365
false,4.8947056830931075
false,4.786723289768869
false,4.980469642383497
false,4.876769583278352
false,4.858234046773599
false,4.804808742411652
false,4.753038687141122
false,4.82622689607387
false,4.8850370921618405
false,4.7258817191373
false,4.741690825514359
false,4.913099515989981
false,4.85541397809922
false,4.814698553643784
false,4.851645717365803
false,4.9372154580825995
false,4.818159232751763
false,4.900072741097081
false,4.764689626352908
false,4.7287275632863865
false,5.0114457388320925
false,4.791466624428082
false,4.917681782945478
false,4.830364131023359
false,4.8277832602376165
false,4.81102293300569
false,4.681616031590676
false,4.850735151741901
false,4.928928877635773
false,4.745397705245875
false,4.9528798674843335
false,4.932375923603103
false,4.817281259421216
false,4.8005802795356605
false,4.834243919816943
false,4.713104068371934
false,4.90119450078882
false,4.768201012420081
false,4.717088550527283
false,4.842298579266127
false,4.788069142623616
false,4.887961565142093
false,4.754124457387792
false,4.844066847058738
false,4.8952271793221565
false,4.773110225924628
false,4.718223786580785
false,4.835369817842078
false,4.796546794460232
false,4.880707190037818
false,4.965816716526658
false,4.863199354172984
false,4.870418630342866
false,4.7620405060940225
false,4.933332500269626
false,4.7626020683850445
false,4.776467737243599
false,4.741212112537133
false,4.851821793957275
false,4.94796410421587
false,4.803804827131399
false,4.838835742006603
false,4.740309197788917
false,4.8974612310491095
false,4.7562043130277845
false,4.87960065616952
false,4.763414121375579
false,5.010144930041125
false,4.770869011041722
false,4.732676091093935
false,4.89637812322904
false,4.683658026703309
false,4.824772349281661
false,4.831648464290751
false,4.8139909673378245
false,4.947232570787341
false,4.86897145000593
false,4.807704728817963
false,4.7766740696761
false,4.95824836083457
false,4.840189714566283
false,4.732272696877163
false,4.859457587746283
false,4.8110048054267125
false,4.6596321106209535
false,4.95347324807264
false,4.729318357437016
false,4.79657683988313
false,4.836809787012626
false,4.93084765133447
false,4.740313821855407
false,4.773281637226868
false,4.8199111842829785
false,4.953470149413359
false,4.814242206407519
false,4.883449728657639
false,4.641175830394003
false,4.800058944886532
false,4.852766857888566
false,4.60431037330274
false,4.784638561235928
false,4.861435666575269
false,4.812058158204205
false,4.773727859412272
false,4.885799646600864
false,4.814483409310989
false,4.868869412117529
false,5.00698042097637
false,4.701217584534014
false,4.9806452900266285
false,4.793425720430255
false,4.725500665662936
false,4.945688470970358
false,4.747553975774055
false,4.721368209572185
false,4.732072282640532
false,5.04597384810367
false,4.845416419876508
false,4.840258620126775
false,4.907686971581493
false,4.839728637971688
false,4.8604039650111135
false,4.661763786730979
false,4.801879825155686
false,4.845411724291036
false,4.804495425692182
false,4.882316933686102
false,4.883466504825826
false,4.657604309708774
false,4.89461535428604
false,4.907476639880286
false,4.824984329396095
false,4.796191927860285
false,4.818471744054905
false,4.823550683033447
false,4.825727047912649
false,4.91399892829466
false,4.795218661775459
false,4.843844572183973
false,4.882701337460615
false,4.893092010867336
false,4.9205920094104645
false,4.760699360927549
false,4.773835849304253
false,4.6919784351325955
false,4.911520564740646
false,4.826759751404784
false,4.900000763862477
false,4.898280490108736
false,4.670603686374476
false,4.775191185307817
false,4.925120957473902
false,4.969029550571139
false,4.8221379758398015
false,4.878053578155001
false,4.763689933010417
false,4.860187969569305
false,4.973775442530657
false,4.844064874527181
false,4.644128198261054
false,4.834534561707641
false,4.861707156940426
false,4.8381944177076015
false,4.609630563857383
false,4.7579257794267935
false,4.9567721944496865
false,4.931699487125452
false,4.903145077257654
false,4.698149636029962
false,4.86162077442503
false,4.913659191270756
false,4.739112166850505
false,4.843693406548379
false,4.837123252564421
false,4.885491356738823
false,4.865131942458637
false,4.8957840267886805
false,4.8511305800352496
false,4.848500855823965
false,4.843399461705751
false,4.818135062480902
false,4.81963657572326
false,4.8185417551796865
false,4.754047840855798
false,4.761297144403277
false,4.775981928821691
false,4.79808573779162
false,4.7722885605492085
false,4.8161423206047935
false,4.873707735244247
false,4.7045317202518016
false,4.717435737445284
false,4.8197578480793455
false,4.846436890808088
false,4.917470176650169
false,4.6849976514291605
false,4.893529284553624
false,4.795725832685924
false,4.801122261814604
false,4.925298042615487
false,4.786890204149487
false,4.859519459613423
false,4.848068790606973
false,4.873748401567281
false,4.932977930341013
false,4.89884545514542
false,4.809106607838858
false,4.66199161392903
false,4.80808022549909
false,4.954026797553822
false,4.837016440287234
false,4.831038968919292
false,4.801426345300882
false,4.754439199520336
false,4.765045452168112
false,4.713550907574119
false,4.731381514056611
false,4.778857304516537
false,4.887741861474115
false,4.962231199046617
false,4.751451870293593
false,4.8378535767749495
false,4.905890385251443
false,4.747487886273532
false,4.772734477602635
false,4.955913423966167
false,4.810899299033169
false,4.769576220488999
false,4.9276165912068555
false,4.785464734790586
false,4.873559908651191
false,4.761700870719783
false,4.854603844994312
false,4.800593220167254
false,4.935197311588384
false,4.867248404063823
false,4.740537634057201
false,4.794375378959557
false,4.89229486425227
false,4.785731836340359
false,4.820736355744113
false,4.7805737844530976
false,4.80208352612004
false,4.756227193473646
false,4.871261295645325
false,4.881819763513475
false,4.82524272268187
false,4.703078845878033
false,4.8642992853439075
false,4.785984250175578
false,4.859432186256254
false,4.7141470182828575
